name	CBI
NCU00775T0	0.777
NCU00784T0	0.149
NCU00789T0	0.323
NCU00792T0	0.4
NCU00793T0	0.301
NCU00794T0	0.318
NCU00799T0	0.187
NCU00805T0	0.145
NCU00810T0	0.16
NCU00813T0	0.412
NCU00814T0	0.159
NCU00823T0	0.395
NCU00824T0	0.344
NCU00829T0	0.228
NCU00830T0	0.158
NCU00831T0	0.394
NCU00833T0	0.084
NCU00838T0	0.31
NCU00843T0	0.419
NCU00847T0	0.259
NCU00856T0	0.124
NCU00860T0	0.184
NCU00863T0	0.086
NCU00864T0	0.28
NCU00865T0	0.427
NCU00867T0	0.424
NCU00868T0	0.218
NCU00873T0	0.142
NCU00877T0	0.229
NCU00879T0	0.225
NCU00880T0	0.246
NCU00882T0	0.115
NCU00884T0	0.357
NCU00890T0	0.362
NCU00891T0	0.676
NCU00892T0	0.326
NCU00893T0	0.145
NCU00894T0	0.514
NCU00895T0	0.299
NCU00896T0	0.456
NCU00898T0	0.222
NCU00900T0	0.171
NCU00902T0	0.17
NCU00903T0	0.271
NCU00904T0	0.595
NCU00905T0	0.301
NCU00913T0	0.268
NCU00914T0	0.125
NCU00915T0	0.518
NCU00916T0	0.238
NCU00918T0	0.115
NCU00920T0	0.283
NCU00925T0	0.493
NCU00928T0	0.116
NCU00930T0	0.706
NCU00935T0	0.643
NCU00936T0	0.429
NCU00938T0	0.304
NCU00939T0	0.101
NCU00944T0	0.195
NCU00950T0	0.364
NCU00951T0	0.531
NCU00953T0	0.168
NCU00954T0	0.151
NCU00956T0	0.223
NCU00957T0	0.399
NCU00958T0	0.258
NCU00959T0	0.726
NCU00963T0	0.563
NCU00964T0	0.271
NCU00965T0	0.151
NCU00966T0	0.342
NCU00967T0	0.196
NCU00968T0	0.287
NCU00969T0	0.29
NCU00971T0	0.723
NCU00974T0	0.205
NCU00977T0	0.38
NCU00979T0	0.69
NCU00980T0	0.123
NCU00984T0	0.201
NCU00985T0	0.123
NCU00998T0	0.122
NCU00999T0	0.138
NCU01002T0	0.282
NCU01004T0	0.299
NCU01006T0	0.198
NCU01007T0	0.398
NCU01010T0	0.096
NCU01013T0	0.447
NCU01016T0	0.294
NCU01019T0	0.049
NCU01021T0	0.635
NCU01023T0	0.489
NCU01024T0	0.318
NCU01047T0	0.226
NCU01053T0	0.239
NCU01057T0	0.497
NCU01064T0	0.047
NCU01067T0	0.138
NCU01068T0	0.248
NCU01069T0	0.279
NCU01072T0	0.272
NCU01080T0	0.121
NCU01083T0	0.395
NCU01084T0	0.198
NCU01097T0	0.13
NCU01099T0	0.289
NCU01100T0	0.223
NCU01101T0	0.216
NCU01102T0	0.47
NCU01104T0	0.448
NCU01107T0	0.28
NCU01108T0	0.399
NCU01113T0	0.106
NCU01114T0	0.196
NCU01115T0	0.228
NCU01118T0	0.225
NCU01119T0	0.251
NCU01121T0	0.378
NCU01140T0	0.177
NCU01142T0	0.397
NCU01143T0	0.292
NCU01144T0	0.161
NCU01145T0	0.485
NCU01146T0	0.576
NCU01150T0	0.045
NCU01157T0	0.364
NCU01160T0	0.402
NCU01161T0	0.107
NCU01163T0	0.324
NCU01164T0	0.356
NCU01165T0	0.376
NCU01166T0	0.177
NCU01167T0	0.271
NCU01169T0	0.381
NCU01170T0	0.324
NCU01171T0	0.355
NCU01172T0	0.132
NCU01175T0	0.634
NCU01176T0	0.096
NCU01177T0	0.232
NCU01178T0	0.2
NCU01179T0	0.501
NCU01181T0	0.393
NCU01183T0	0.383
NCU01184T0	0.112
NCU01185T0	0.236
NCU01189T0	0.064
NCU01190T0	0.165
NCU01191T0	0.11
NCU01192T0	0.294
NCU01193T0	0.238
NCU01195T0	0.752
NCU01197T0	0.349
NCU01198T0	0.115
NCU01200T1	0.542
NCU01201T0	0.458
NCU01204T0	0.559
NCU01205T0	0.117
NCU01207T0	0.474
NCU01211T0	0.274
NCU01212T0	0.061
NCU01213T0	0.406
NCU01215T0	0.189
NCU01216T0	0.129
NCU01218T0	0.33
NCU01219T0	0.547
NCU01220T0	0.1
NCU01221T0	0.771
NCU01224T0	0.361
NCU01225T0	0.213
NCU01227T0	0.665
NCU01229T0	0.295
NCU01233T0	0.251
NCU01234T0	0.421
NCU01235T0	0.233
NCU01238T0	0.126
NCU01240T0	0.346
NCU01241T0	0.335
NCU01247T0	0.191
NCU01249T0	0.41
NCU01255T0	0.29
NCU01256T0	0.142
NCU01258T0	0.358
NCU01259T0	0.278
NCU01267T0	0.177
NCU01268T0	0.189
NCU01272T0	0.258
NCU01275T0	0.21
NCU01276T0	0.362
NCU01277T0	0.142
NCU01278T0	0.099
NCU01282T0	0.291
NCU01283T0	0.298
NCU01284T0	0.061
NCU01285T0	0.215
NCU01288T0	0.086
NCU01290T0	0.641
NCU01291T0	0.092
NCU01294T0	0.093
NCU01296T0	0.177
NCU01297T0	0.076
NCU01300T0	0.399
NCU01302T0	0.242
NCU01303T0	-0.012
NCU01304T0	0.308
NCU01305T0	0.151
NCU01307T0	0.302
NCU01310T0	0.102
NCU01317T0	0.653
NCU01318T0	0.336
NCU01319T0	0.152
NCU01320T0	0.449
NCU01322T0	0.299
NCU01323T0	0.237
NCU01327T0	0.237
NCU01328T0	0.667
NCU01330T0	0.177
NCU01331T0	0.587
NCU01332T0	0.468
NCU01335T0	0.088
NCU01337T0	0.209
NCU01338T0	0.16
NCU01341T0	0.233
NCU01342T0	0.418
NCU01343T0	0.324
NCU01345T0	0.099
NCU01347T0	0.195
NCU01348T0	0.138
NCU01353T0	0.487
NCU01360T0	0.23
NCU01361T0	0.135
NCU01362T0	0.295
NCU01364T0	0.195
NCU01368T0	0.447
NCU01369T0	0.612
NCU01371T0	0.264
NCU01376T0	0.355
NCU01379T0	0.183
NCU01381T0	0.294
NCU01387T0	0.096
NCU01388T0	0.353
NCU01389T0	0.077
NCU01391T0	0.335
NCU01393T0	0.146
NCU01395T0	0.516
NCU01397T0	0.148
NCU01399T0	0.153
NCU01401T0	0.132
NCU01408T0	0.151
NCU01409T0	0.109
NCU01412T0	0.491
NCU01413T0	0.125
NCU01414T0	0.173
NCU01417T0	0.158
NCU01419T0	0.291
NCU01420T0	0.145
NCU01422T0	0.671
NCU01424T0	0.709
NCU01425T0	0.207
NCU01426T0	0.137
NCU01427T0	0.319
NCU01428T0	0.234
NCU01429T0	0.63
NCU01430T0	0.25
NCU01431T0	0.185
NCU01433T0	0.463
NCU01434T0	0.286
NCU01435T0	0.13
NCU01436T0	0.258
NCU01438T0	0.665
NCU01439T0	0.476
NCU01440T0	0.336
NCU01441T0	0.44
NCU01443T0	0.623
NCU01444T0	0.364
NCU01446T0	0.577
NCU01449T0	0.229
NCU01452T0	0.77
NCU01453T0	0.126
NCU01454T0	0.215
NCU01455T0	0.407
NCU01458T0	0.317
NCU01460T0	0.322
NCU01464T0	0.12
NCU01465T0	0.127
NCU01467T0	0.366
NCU01468T0	0.32
NCU01469T0	0.246
NCU01470T0	0.183
NCU01471T0	0.208
NCU01473T0	0.475
NCU01474T0	0.421
NCU01475T0	0.242
NCU01476T0	0.061
NCU01478T0	0.114
NCU01479T0	0.424
NCU01481T0	0.117
NCU01484T0	0.552
NCU01485T0	0.488
NCU01486T0	0.358
NCU01487T0	0.421
NCU01489T0	0.31
NCU01498T0	0.113
NCU01500T0	0.213
NCU01501T0	0.341
NCU01503T0	0.413
NCU01504T0	0.405
NCU01510T0	0.362
NCU01511T0	0.269
NCU01512T0	0.415
NCU01515T0	0.372
NCU01516T0	0.683
NCU01517T0	0.563
NCU01523T0	0.456
NCU01525T0	0.2
NCU01527T0	0.112
NCU01528T0	0.799
NCU01534T0	0.256
NCU01535T0	0.224
NCU01538T0	0.099
NCU01539T0	0.201
NCU01540T0	0.331
NCU01541T0	0.474
NCU01543T0	0.168
NCU01545T0	0.55
NCU01546T0	0.411
NCU01547T0	0.508
NCU01549T0	0.239
NCU01550T0	0.695
NCU01552T0	0.724
NCU01555T0	0.636
NCU01559T0	0.315
NCU01565T0	0.241
NCU01571T0	0.301
NCU01580T0	0.215
NCU01581T0	0.116
NCU01585T0	0.192
NCU01587T0	0.625
NCU01589T0	0.821
NCU01596T0	0.46
NCU01597T0	0.032
NCU01599T0	0.282
NCU01601T0	0.372
NCU01606T0	0.692
NCU01611T0	0.358
NCU01612T0	0.505
NCU01613T0	0.413
NCU01614T0	0.292
NCU01615T0	0.21
NCU01632T0	0.452
NCU01635T0	0.857
NCU01636T0	0.282
NCU01637T0	0.286
NCU01638T0	0.462
NCU01642T0	0.146
NCU01643T0	0.253
NCU01644T0	0.251
NCU01645T0	0.285
NCU01647T0	0.216
NCU01648T0	0.423
NCU01650T0	0.472
NCU01652T0	0.312
NCU01654T0	0.467
NCU01655T0	0.23
NCU01658T0	0.062
NCU01659T0	0.184
NCU01666T0	0.475
NCU01667T0	0.489
NCU01669T0	0.489
NCU01670T0	0.11
NCU01673T0	0.18
NCU01674T0	0.338
NCU01675T0	0.447
NCU01680T0	0.674
NCU01689T0	0.647
NCU01692T0	0.798
NCU01695T0	0.161
NCU01696T0	0.154
NCU01700T0	0.108
NCU01701T0	0.26
NCU01702T0	0.353
NCU01703T0	0.149
NCU01704T0	0.368
NCU01705T0	0.159
NCU01706T0	0.016
NCU01713T0	0.193
NCU01720T0	0.418
NCU01725T0	0.276
NCU01728T0	0.203
NCU01729T0	0.118
NCU01735T0	0.453
NCU01737T0	0.04
NCU01739T0	0.201
NCU01741T0	0.234
NCU01744T0	0.362
NCU01747T0	0.271
NCU01748T0	0.224
NCU01751T0	0.324
NCU01754T0	0.676
NCU01756T0	0.394
NCU01758T0	0.284
NCU01759T0	0.367
NCU01761T0	0.294
NCU01762T0	0.161
NCU01765T0	0.412
NCU01766T0	0.255
NCU01767T0	0.186
NCU01768T0	0.325
NCU01771T0	0.182
NCU01772T0	0.395
NCU01776T0	0.801
NCU01777T0	0.093
NCU01779T0	0.284
NCU01782T0	0.165
NCU01784T0	0.324
NCU01786T0	0.467
NCU01789T0	0.078
NCU01792T0	0.541
NCU01793T0	0.473
NCU01795T0	0.456
NCU01797T0	0.279
NCU01800T0	0.452
NCU01805T0	0.114
NCU01806T0	0.246
NCU01807T0	0.368
NCU01808T0	0.832
NCU01809T0	0.31
NCU01810T0	0.128
NCU01813T0	0.176
NCU01816T0	0.387
NCU01817T0	0.212
NCU01818T0	-0.013
NCU01820T0	0.416
NCU01821T0	0.559
NCU01822T0	0.222
NCU01823T0	0.153
NCU01824T0	0.628
NCU01827T0	0.746
NCU01831T0	0.148
NCU01833T0	0.138
NCU01835T0	0.427
NCU01838T0	0.346
NCU01839T0	0.146
NCU01843T0	0.507
NCU01844T0	0.231
NCU01845T0	0.17
NCU01846T0	0.1
NCU01849T0	0.661
NCU01850T0	0.146
NCU01854T0	0.189
NCU01855T0	0.489
NCU01857T0	0.26
NCU01859T0	0.316
NCU01861T0	0.355
NCU01878T0	0.246
NCU01879T0	0.345
NCU01881T0	0.038
NCU01883T0	0.15
NCU01888T0	0.278
NCU01889T0	0.369
NCU01894T0	0.398
NCU01895T0	0.087
NCU01901T0	0.124
NCU01902T0	0.455
NCU01903T0	0.23
NCU01904T0	0.188
NCU01905T0	0.117
NCU01906T0	0.235
NCU01907T0	0.128
NCU01908T0	-0.006
NCU01910T0	0.025
NCU01912T0	0.346
NCU01913T0	0.183
NCU01914T0	0.311
NCU01916T0	0.266
NCU01919T0	0.296
NCU01920T0	-0.094
NCU01922T0	0.177
NCU01924T0	0.008
NCU01927T0	0.119
NCU01929T0	0.099
NCU01930T0	0.29
NCU01938T0	0.109
NCU01939T0	0.318
NCU01945T0	0.232
NCU01947T0	0.05
NCU01948T0	0.78
NCU01949T0	0.705
NCU01953T0	0.078
NCU01955T0	0.282
NCU01956T0	0.321
NCU01962T0	0.822
NCU01965T0	0.456
NCU01966T0	0.754
NCU01967T0	-0.022
NCU01970T0	0.258
NCU01972T0	0.071
NCU01973T0	0.045
NCU01975T0	0.215
NCU01979T0	0.254
NCU01981T0	0.561
NCU01984T0	0.074
NCU01985T0	0.569
NCU01989T0	0.211
NCU01990T0	0.273
NCU01991T0	0.061
NCU01992T0	0.325
NCU01996T0	0.089
NCU01997T0	0.24
NCU01998T0	0.212
NCU01999T0	0.197
NCU02002T0	0.17
NCU02003T0	0.789
NCU02004T0	0.343
NCU02006T0	0.093
NCU02007T0	0.231
NCU02010T0	0.41
NCU02011T0	0.342
NCU02013T0	0.282
NCU02016T0	0.733
NCU02018T0	0.318
NCU02020T0	0.144
NCU02024T0	0.095
NCU02025T0	0.341
NCU02026T0	0.225
NCU02027T0	0.455
NCU02028T0	0.304
NCU02031T0	0.216
NCU02036T0	0.199
NCU02041T0	0.46
NCU02043T0	0.096
NCU02044T0	0.673
NCU02048T0	0.087
NCU02052T0	0.184
NCU02055T0	0.222
NCU02056T0	0.43
NCU02058T0	0.001
NCU02063T0	0.346
NCU02064T0	0.536
NCU02065T0	0.082
NCU02068T0	0.182
NCU02070T0	0.264
NCU02074T0	0.34
NCU02075T0	0.804
NCU02076T0	0.621
NCU02078T0	0.149
NCU02079T0	0.438
NCU02082T0	0.209
NCU02083T0	0.145
NCU02084T0	0.154
NCU02090T0	0.596
NCU02094T0	0.202
NCU02095T0	0.159
NCU02096T0	0.345
NCU02097T0	0.289
NCU02098T0	0.069
NCU02099T0	0.293
NCU02103T0	0.376
NCU02105T0	0.308
NCU02107T0	0.341
NCU02109T0	0.441
NCU02111T0	0.339
NCU02112T0	0.164
NCU02113T0	0.522
NCU02116T0	0.218
NCU02117T0	0.236
NCU02120T0	0.058
NCU02121T0	0.098
NCU02124T0	0.641
NCU02126T0	0.194
NCU02128T0	0.306
NCU02130T0	0.009
NCU02131T0	0.177
NCU02133T0	0.834
NCU02134T0	0.474
NCU02136T0	0.779
NCU02139T0	0.288
NCU02147T0	0.247
NCU02148T0	0.229
NCU02149T0	0.434
NCU02151T0	0.091
NCU02152T0	0.43
NCU02153T0	0.1
NCU02156T0	0.281
NCU02160T0	0.395
NCU02162T0	0.295
NCU02181T0	0.732
NCU02187T0	0.265
NCU02191T0	0.314
NCU02193T0	0.528
NCU02193T1	0.537
NCU02200T0	0.374
NCU02202T0	0.226
NCU02203T0	0.236
NCU02204T0	0.269
NCU02207T0	0.428
NCU02208T0	0.565
NCU02209T0	0.713
NCU02218T0	0.332
NCU02223T0	0.119
NCU02224T0	0.432
NCU02225T0	0.21
NCU02226T0	0.492
NCU02227T0	0.358
NCU02228T0	0.208
NCU02232T0	0.203
NCU02233T0	0.167
NCU02234T0	0.117
NCU02235T0	0.207
NCU02236T0	0.449
NCU02237T0	0.167
NCU02244T0	0.185
NCU02245T0	0.111
NCU02249T0	0.14
NCU02252T0	0.651
NCU02254T0	0.159
NCU02256T0	0.289
NCU02259T0	0.144
NCU02260T0	0.391
NCU02263T0	0.649
NCU02264T0	0.28
NCU02265T0	0.078
NCU02267T0	0.388
NCU02268T0	0.22
NCU02269T0	0.3
NCU02270T0	0.254
NCU02272T0	0.121
NCU02273T0	0.459
NCU02274T0	0.766
NCU02276T0	0.236
NCU02278T0	0.324
NCU02280T0	0.456
NCU02281T0	0.14
NCU02283T0	0.522
NCU02284T0	0.392
NCU02286T0	0.103
NCU02287T0	0.672
NCU02289T0	0.324
NCU02291T0	0.513
NCU02293T0	0.479
NCU02295T0	0.18
NCU02299T0	0.258
NCU02302T0	0.304
NCU02305T0	0.391
NCU02315T0	0.222
NCU02318T0	0.149
NCU02319T0	0.524
NCU02322T0	0.354
NCU02325T0	0.645
NCU02328T0	0.259
NCU02333T0	0.518
NCU02335T0	0.37
NCU02336T0	0.321
NCU02343T0	0.234
NCU02345T0	0.094
NCU02349T0	0.257
NCU02351T0	0.145
NCU02353T0	0.227
NCU02354T0	0.219
NCU02356T0	0.116
NCU02357T0	0.271
NCU02358T0	0.105
NCU02360T0	0.212
NCU02361T0	0.314
NCU02366T0	0.789
NCU02367T0	0.16
NCU02368T0	0.238
NCU02369T0	0.281
NCU02372T0	0.297
NCU02373T0	0.428
NCU02374T0	0.487
NCU02375T0	0.159
NCU02376T0	0.186
NCU02380T0	0.638
NCU02381T0	0.409
NCU02385T0	0.354
NCU02387T0	0.17
NCU02388T0	0.153
NCU02391T0	0.186
NCU02393T0	0.372
NCU02394T0	0.118
NCU02395T0	0.114
NCU02396T0	0.088
NCU02397T0	0.208
NCU02399T0	0.228
NCU02400T0	0.158
NCU02402T0	0.166
NCU02403T0	0.271
NCU02404T0	0.33
NCU02404T1	0.328
NCU02405T0	0.312
NCU02407T0	0.654
NCU02409T0	0.176
NCU02413T0	0.08
NCU02414T0	0.278
NCU02418T0	0.137
NCU02419T0	0.36
NCU02421T0	0.151
NCU02422T0	0.041
NCU02423T0	0.323
NCU02424T0	0.196
NCU02425T0	0.083
NCU02428T0	0.369
NCU02429T0	0.067
NCU02430T0	0.197
NCU02433T0	0.077
NCU02435T0	0.698
NCU02437T0	0.555
NCU02438T0	0.385
NCU02450T0	0.308
NCU02451T0	0.332
NCU02452T0	0.081
NCU02453T0	0.111
NCU02455T0	0.35
NCU02459T0	0.181
NCU02461T0	0.041
NCU02463T0	0.277
NCU02464T0	0.443
NCU02468T0	0.337
NCU02472T0	0.409
NCU02473T0	0.261
NCU02475T0	0.321
NCU02477T0	0.403
NCU02478T0	0.249
NCU02479T0	0.215
NCU02480T0	0.293
NCU02481T0	0.54
NCU02482T0	0.561
NCU02490T0	0.475
NCU02491T0	0.279
NCU02493T0	0.435
NCU02494T0	0.248
NCU02495T0	0.207
NCU02497T0	0.281
NCU02498T0	0.198
NCU02499T0	0.129
NCU02505T0	0.595
NCU02508T0	0.333
NCU02509T0	0.823
NCU02510T0	0.407
NCU02513T0	0.253
NCU02514T0	0.71
NCU02515T0	0.292
NCU02519T0	0.085
NCU02520T0	0.085
NCU02524T0	0.039
NCU02525T0	0.054
NCU02526T0	0.25
NCU02528T0	0.225
NCU02531T0	0.081
NCU02532T0	0.295
NCU02533T0	0.497
NCU02534T0	0.43
NCU02536T0	0.153
NCU02538T0	0.286
NCU02539T0	0.284
NCU02540T0	0.27
NCU02541T0	0.3
NCU02542T1	0.3
NCU02544T0	0.208
NCU02545T0	0.405
NCU02547T0	0.092
NCU02549T0	0.597
NCU02550T0	0.156
NCU02553T0	0.089
NCU02554T0	0.057
NCU02555T0	0.305
NCU02558T0	0.025
NCU02563T0	0.301
NCU02564T0	0.21
NCU02566T0	0.542
NCU02571T0	0.601
NCU02572T0	0.221
NCU02573T0	0.262
NCU02576T0	0.09
NCU02577T0	0.099
NCU02578T0	0.182
NCU02579T0	0.089
NCU02580T0	0.68
NCU02585T0	0.304
NCU02586T0	0.079
NCU02587T0	0.136
NCU02588T0	0.383
NCU02589T0	0.173
NCU02592T0	0.117
NCU02595T0	0.428
NCU02596T0	0.391
NCU02597T0	0.13
NCU02599T0	0.531
NCU02602T0	0.42
NCU02603T0	0.189
NCU02606T0	0.064
NCU02610T0	0.424
NCU02614T0	0.384
NCU02615T0	0.249
NCU02618T0	0.218
NCU02619T0	0.375
NCU02620T0	0.211
NCU02621T0	0.187
NCU02623T0	0.634
NCU02624T0	0.525
NCU02629T0	0.614
NCU02630T0	0.343
NCU02632T0	0.093
NCU02634T0	0.24
NCU02635T0	0.304
NCU02639T0	0.726
